"bill","policy","sponsor","cosponsors"
"S_3047","Energy","Sen. Barrasso, John [R-WY]","Sen. Enzi, Michael B. [R-WY]"
"S_3048","Immigration","Sen. Collins, Susan M. [R-ME]","Sen. Sinema, Kyrsten [D-AZ]"
"S_3049","Health","Sen. Brown, Sherrod [D-OH]","Sen. Burr, Richard [R-NC]"
"S_3049","Health","Sen. Brown, Sherrod [D-OH]","Sen. Menendez, Robert [D-NJ]"
"S_3049","Health","Sen. Brown, Sherrod [D-OH]","Sen. Roberts, Pat [R-KS]"
"S_3049","Health","Sen. Brown, Sherrod [D-OH]","Sen. Bennet, Michael F. [D-CO]"
"S_3049","Health","Sen. Brown, Sherrod [D-OH]","Sen. Tillis, Thom [R-NC]"
"S_305","Taxation","Sen. Klobuchar, Amy [D-MN]","Sen. Hoeven, John [R-ND]"
"S_305","Taxation","Sen. Klobuchar, Amy [D-MN]","Sen. Udall, Tom [D-NM]"
"S_305","Taxation","Sen. Klobuchar, Amy [D-MN]","Sen. Moran, Jerry [R-KS]"
"S_3050","Finance and Financial Sector","Sen. Tester, Jon [D-MT]","Sen. Thune, John [R-SD]"
"S_3050","Finance and Financial Sector","Sen. Tester, Jon [D-MT]","Sen. Brown, Sherrod [D-OH]"
"S_3050","Finance and Financial Sector","Sen. Tester, Jon [D-MT]","Sen. Perdue, David [R-GA]"
"S_3051","Public Lands and Natural Resources","Sen. Barrasso, John [R-WY]","Sen. Carper, Thomas R. [D-DE]"
"S_3051","Public Lands and Natural Resources","Sen. Barrasso, John [R-WY]","Sen. Cramer, Kevin [R-ND]"
"S_3051","Public Lands and Natural Resources","Sen. Barrasso, John [R-WY]","Sen. Cardin, Benjamin L. [D-MD]"
"S_3051","Public Lands and Natural Resources","Sen. Barrasso, John [R-WY]","Sen. Capito, Shelley Moore [R-WV]"
"S_3051","Public Lands and Natural Resources","Sen. Barrasso, John [R-WY]","Sen. Van Hollen, Chris [D-MD]"
"S_3051","Public Lands and Natural Resources","Sen. Barrasso, John [R-WY]","Sen. Inhofe, James M. [R-OK]"
"S_3051","Public Lands and Natural Resources","Sen. Barrasso, John [R-WY]","Sen. Boozman, John [R-AR]"
"S_3051","Public Lands and Natural Resources","Sen. Barrasso, John [R-WY]","Sen. Duckworth, Tammy [D-IL]"
